PERMNO,date,TICKER,PRC
91068,20141031,CMG,638
91068,20141128,CMG,663.62
91068,20141231,CMG,684.51001
91068,20150130,CMG,709.84003
91068,20150227,CMG,664.96997
91068,20150331,CMG,650.53998
91068,20150430,CMG,621.34003
91068,20150529,CMG,615.52002
91068,20150630,CMG,604.98999
91068,20150731,CMG,742.22998
91068,20150831,CMG,710.01001
91068,20150930,CMG,720.25
91068,20151030,CMG,640.22998
91068,20151130,CMG,579.54999
91068,20151231,CMG,479.85001
91068,20160129,CMG,452.97
91068,20160229,CMG,509.16
91068,20160331,CMG,470.97
91068,20160429,CMG,420.97
91068,20160531,CMG,441.95999
91068,20160630,CMG,402.76001
91068,20160729,CMG,423.98999
91068,20160831,CMG,413.73001
91068,20160930,CMG,423.5
91068,20161031,CMG,360.76001
91068,20161130,CMG,396.32999
91068,20161230,CMG,377.32001
91068,20170131,CMG,421.44
91068,20170228,CMG,418.73999
91068,20170331,CMG,445.51999
91068,20170428,CMG,474.47
91068,20170531,CMG,477.35001
91068,20170630,CMG,416.10001
91068,20170731,CMG,343.76999
91068,20170831,CMG,316.70999
91068,20170929,CMG,307.82999
91068,20171031,CMG,271.89999
91068,20171130,CMG,304.39001
91068,20171229,CMG,289.03
91068,20180131,CMG,324.76001
91068,20180228,CMG,318.41
91068,20180329,CMG,323.10999
91068,20180430,CMG,423.32999
91068,20180531,CMG,430.17999
91068,20180629,CMG,431.37
91068,20180731,CMG,433.66
91068,20180831,CMG,475.17999
91068,20180928,CMG,454.51999
91068,20181031,CMG,460.32999
91068,20181130,CMG,473.20999
91068,20181231,CMG,431.79001
91103,20130131,UAL,24.15
91103,20130228,UAL,26.71
91103,20130328,UAL,32.01
91103,20130430,UAL,32.3
91103,20130531,UAL,32.46
91103,20130628,UAL,31.29
91103,20130731,UAL,34.85
91103,20130830,UAL,28.46
91103,20130930,UAL,30.71
91103,20131031,UAL,33.95
91103,20131129,UAL,39.25
91103,20131231,UAL,37.83
91103,20140131,UAL,45.84
91103,20140228,UAL,44.96
91103,20140331,UAL,44.63
91103,20140430,UAL,40.87
91103,20140530,UAL,44.37
91103,20140630,UAL,41.07
91103,20140731,UAL,46.39
91103,20140829,UAL,47.61
91103,20140930,UAL,46.79
91103,20141031,UAL,52.81
91103,20141128,UAL,61.23
91103,20141231,UAL,66.89
91103,20150130,UAL,69.37
91103,20150227,UAL,65.18
91103,20150331,UAL,67.25
91103,20150430,UAL,59.74
91103,20150529,UAL,54.59
91103,20150630,UAL,53.01
91103,20150731,UAL,56.39
91103,20150831,UAL,56.97
91103,20150930,UAL,53.05
91103,20151030,UAL,60.31
91103,20151130,UAL,55.73
91103,20151231,UAL,57.3
91103,20160129,UAL,48.28
91103,20160229,UAL,57.26
91103,20160331,UAL,59.86
91103,20160429,UAL,45.81
91103,20160531,UAL,45.09
91103,20160630,UAL,41.04
91103,20160729,UAL,46.89
91103,20160831,UAL,50.41
91103,20160930,UAL,52.47
91103,20161031,UAL,56.23
91103,20161130,UAL,68.95
91103,20161230,UAL,72.88
91103,20170131,UAL,70.47
91103,20170228,UAL,74.09
91103,20170331,UAL,70.64
91103,20170428,UAL,70.21
91103,20170531,UAL,79.67
91103,20170630,UAL,75.25
91103,20170731,UAL,67.68
91103,20170831,UAL,61.96
91103,20170929,UAL,60.88
91103,20171031,UAL,58.48
91103,20171130,UAL,63.32
91103,20171229,UAL,67.4
91103,20180131,UAL,67.82
91103,20180228,UAL,67.79
91103,20180329,UAL,69.47
91103,20180430,UAL,67.54
91103,20180531,UAL,69.59
91103,20180629,UAL,69.73
91103,20180731,UAL,80.4
91103,20180831,UAL,87.42
91103,20180928,UAL,89.06
91103,20181031,UAL,85.51
91103,20181130,UAL,96.7
91103,20181231,UAL,83.73
91152,20130131,TDG,135.44
91152,20130228,TDG,142.34
91152,20130328,TDG,152.92
91152,20130430,TDG,146.8
91152,20130531,TDG,146.10001
91152,20130628,TDG,156.77
91152,20130731,TDG,144.59
91152,20130830,TDG,137
91152,20130930,TDG,138.7
91152,20131031,TDG,145.41
91152,20131129,TDG,156.52
91152,20131231,TDG,161.02
